BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,1142.2425659727699,1153.6394214088857,1061.0375087625382,1118.2934718229205,1151.2978485422666,1204.3428021812738,1253.0121158720492,1135.3485319037823,1271.524415681456,1215.0346821819032
S1,1048.8739178625735,1085.1205917156562,983.0490911618401,1052.2884398539231,1083.2509513684456,1134.4872221853734,1144.5823643666092,1027.714944490931,1137.3245255444822,1109.2086000275942
S2,1294.320993606984,1314.7839462578868,1222.1598933789849,1275.9914139955213,1297.9767706581358,1357.145487555749,1375.4380794536078,1222.2586038979173,1399.8074051168053,1320.8415016590138
S3,1303.084199533544,1327.6243469023227,1213.0384748119168,1250.6540764387855,1290.2478362391348,1357.2224296651539,1381.295381194194,1260.1494665523028,1389.6772325565826,1312.5451470643923
S4,1296.7814595971624,1331.7845837528655,1231.6407650657982,1275.0690215524044,1316.8731454981514,1381.1206125886501,1394.157800234309,1271.7254797518829,1405.6903508188925,1353.7119237039258
S5,1406.4259362214389,1440.9159443755225,1359.3870336681216,1406.6000516534396,1433.2536825212587,1432.2506853933162,1450.385742038152,1344.2607043008961,1486.5748712971317,1361.5110601159618
S6,1087.4644115880863,1126.3121613401236,978.0392088336512,1038.5223896214432,1085.4025233961477,1131.9606617997254,1173.7984206698159,1090.717464369473,1188.8699984991547,1137.7286798116602
S7,1359.253719675479,1358.4862370904968,1312.8301902809167,1339.7331513993754,1371.835937828794,1403.3911986597323,1381.415328165344,1267.201780500452,1369.0010738398685,1304.3282438122887
S8,1180.196347700316,1214.0199350034748,1099.568589150343,1167.8495791464786,1221.82993165186,1266.4661354396883,1318.6543963170625,1245.103653993344,1313.4248337789318,1287.6867698437547
S9,1061.345721964794,1125.3739482003011,941.8495388762803,1044.6936358980838,1126.9473792578854,1192.54454208463,1200.057294157093,1102.2031489305166,1251.1534613564875,1201.0115001170857
