bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S3,167.6514958947517,169.21017658540973,1.5586806906580364,254.70732611972272,0.00611949689238775,False
S1,S9,103.01073618385107,163.70639276542667,60.695656581575605,285.9662836663321,0.21224759717616154,False
S2,S9,-323.2927610308955,7.524789013585703,330.8175500444812,216.42625915005323,1.5285462648740693,False
S3,S3,247.13781367209356,247.13781367209356,0.0,300.8260953187676,0.0,True
S4,S0,-94.9224934893573,-91.7703448999199,3.152148589437388,285.1881803602402,0.011052872476887713,False
S5,S8,-136.14411494303423,-92.40009291060487,43.744022032429356,268.32400439470246,0.16302686795059249,False
S6,S2,253.27198569938292,304.9395569077505,51.667571208367576,296.5853885872836,0.17420808035916466,False
S7,S5,135.99759723884247,293.29841877413935,157.30082153529688,238.17005834106592,0.6604559054607858,False
S8,S5,109.09234732735585,130.92143990466883,21.829092577312977,228.44091333454654,0.09555684338096113,False
S9,S9,-61.48627065973541,-61.48627065973541,0.0,121.46724968958425,0.0,True
