bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S1,-860.7139104308693,-705.2361987816203,155.47771164924904,868.4038188995404,0.17903849368865474,False
S1,S4,135.79979922891215,394.5125560121871,258.7127567832749,990.0763914193581,0.26130585379617866,False
S2,S9,-547.5764906351776,16.908796206973754,564.4852868421514,805.5340680708423,0.7007590482101224,False
S3,S5,-494.87493147954484,-77.50501678645536,417.36991469308947,875.801312089571,0.4765577636522241,False
S4,S9,26.930478549759865,457.49907129700665,430.5685927472468,848.2567438106236,0.5075923013744679,False
S5,S4,853.0015423603924,904.3336317643192,51.33208940392683,860.4444707434911,0.05965764340326564,False
S6,S9,-118.31240557199786,-30.064552091307938,88.24785348068991,704.1900138545082,0.12531824045281434,False
S7,S2,845.5501695997557,1475.8083656935592,630.2581960938035,912.6506203994848,0.690579924021667,False
S8,S8,546.1288884722386,546.1288884722386,0.0,857.7573378129763,0.0,True
S9,S8,-175.52852451384868,-167.6034893257036,7.925035188145074,582.1090296923902,0.013614348487830503,False
