bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S9,-605.1203849176916,-578.7683790522923,26.352005865399292,714.910321272855,0.03686057548935806,False
S1,S9,-510.38082321086875,-95.9639820383385,414.41684117253027,778.0854230180339,0.532610981921615,False
S2,S9,-567.6473607999133,246.20053123638786,813.8478920363011,804.6875785129247,1.0113836894814567,False
S3,S1,-670.0964668551932,-468.0570593572673,202.03940749792588,951.3109632026395,0.21237998437203892,False
S4,S6,164.91185408134095,241.31627580449816,76.40442172315721,946.3044290932964,0.08073979088987703,False
S5,S4,979.4065205269984,1164.3442392182872,184.93771869128875,953.7998843455957,0.19389572354391188,False
S6,S9,-331.1036179122283,-216.14777046934114,114.95584744288715,754.4940606537023,0.1523615008225354,False
S7,S4,159.08370793891788,326.79181231755683,167.70810437863895,808.4081866894396,0.20745473281935747,False
S8,S5,395.1073513843463,683.8168718431962,288.70952045884985,866.8713288337794,0.3330477209890618,False
S9,S9,256.069368132228,256.069368132228,0.0,471.56701155949895,0.0,True
