bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S4,-133.4743209902168,-92.43873397873773,41.035587011479066,125.61122022335427,0.3266872731473516,False
S1,S0,25.841600207467565,30.24648849849635,4.4048882910287865,159.04147090913088,0.027696476056522017,False
S2,S6,-153.15783063959708,-38.62488974302232,114.53294089657476,130.1041414286565,0.8803174106443005,False
S3,S5,-48.138779926355056,22.890501768400682,71.02928169475574,120.68202567265334,0.5885655407162348,False
S4,S5,-61.87516766755676,2.7040803618045577,64.57924802936132,122.24527287884165,0.528276034799042,False
S5,S4,51.33746312058073,80.96844510863696,29.630981988056227,111.49352251348377,0.2657641566977375,False
S6,S6,47.10537392265136,47.10537392265136,0.0,105.39322980106952,0.0,True
S7,S1,68.60441920064076,211.02668163511228,142.42226243447152,116.28061591681757,1.2248151707104358,False
S8,S5,42.14997716425505,135.69333567596635,93.5433585117113,127.11216415122477,0.7359119336558788,False
S9,S8,-7.947261915776112,154.01402148289145,161.96128339866758,50.86689615144699,3.1840213508694757,False
