BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,579.0105519587397,496.60660695262635,257.9144063107474,455.9049400672452,453.38912753573817,541.2344206889626,507.424268865779,480.6173445031579,389.9094006484413,205.62738867080066
S1,379.8681984391507,439.41218447348336,196.95271089600098,227.78300149068534,37.90291042171884,264.3371503515536,563.3139346254125,337.4834656373676,600.3293681568578,370.6718492273019
S2,-687.6650962668795,-495.6683183045279,-957.7537538067463,-758.751995580747,-494.18968423500763,-345.22912701304267,-0.860423170165479,-198.1309162332385,204.96129761843952,359.33112638989985
S3,-152.94990243762976,3.594620894737105,-315.916573705552,-214.76891774611525,-168.45178123465774,-40.801087423559366,130.2788784014289,-115.9547011108849,25.75077194917295,349.16936088194467
S4,1026.632520626669,961.0154966503987,869.0427251000008,815.669324695271,1020.063142791514,826.2641069216957,1066.8794016175727,876.7143817809175,895.5485326862922,867.0289080032792
S5,1015.4201794268632,849.5620682631351,882.619112147869,1069.780536602776,1040.8929390428927,981.9251527634315,965.4584520635425,828.8881513468982,957.4257053565404,721.0694107594218
S6,-155.5481767225091,-124.09258067188031,-158.13771068386038,-133.7242363648862,-130.50941711828116,34.04412128875737,-42.97321271394391,-279.2768153935567,39.483437751554476,104.37102785209375
S7,1891.0389846176854,1786.1479941952844,2039.068948546198,1975.877598777851,1901.0129304809793,1779.5797839994323,1714.3933650964455,1487.8394823928159,1627.3891891993649,1206.086322748993
S8,1268.15210013245,1111.723640919642,1563.7074102583513,1380.295822620194,1227.3106576518628,1222.015547169464,1082.7350179505688,857.5779302370262,1028.29000648777,927.7405981869613
S9,-157.82052592797666,-59.77128184081451,-240.44021619790803,-144.21981221846968,-146.62200479990244,-206.00858565735805,-38.77745655391633,-169.48842438397043,-51.098675526458656,457.629380789422
