BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,198.65818850054706,189.11483295451853,209.77999913645772,210.07280332351903,199.92056056050683,189.48793737302728,177.08272717065978,168.14237263488542,164.08656377896799,118.73225079493746
S1,208.21513411269896,204.32281240751465,222.39454113037007,216.20080852701344,215.51267536031932,205.9449478917733,192.3724053264023,184.4472724793193,185.85926545606995,138.69082926540096
S2,211.5304562913843,200.43550329941414,219.2247094797812,215.88451791313432,212.4419828216907,203.3764768645723,189.49170267539932,180.83851929703175,178.63982409987815,137.33748482257616
S3,190.32594158639344,170.7334698059137,212.39422611967296,205.250674512468,196.4663045501727,180.87636263984888,167.45758961899227,164.12012798576833,158.311427434491,109.71513762081844
S4,249.10815290671633,236.0927370507202,263.43563258451974,260.55324914195023,251.3244911171853,244.5442739505393,229.9727320060656,223.7795421573488,219.2369207436431,159.87750029845836
S5,235.86129795775068,230.57307791014668,246.19351094627208,242.4071335273763,229.2616376661478,221.64938783262653,212.61911729915255,198.09726714545624,204.5266181703378,144.71374852403036
S6,174.30386358488974,168.62883380473443,210.15467478257403,206.38897484347538,202.6819422534389,173.02857027522845,155.23410450345997,148.45188353856577,136.45947228633835,90.10111474713361
S7,202.22405757089012,193.48764086385142,213.33178487428995,200.85970555388062,196.59473089399296,193.0127309132219,188.45429188301443,170.14064106532885,167.96789388365244,135.8586467046061
S8,226.58313371281574,220.69638401152272,236.91773754795224,229.101770077304,227.10021558478033,222.58874242472513,214.0641770496244,204.6724510478432,194.03823420173146,131.52284940987212
S9,184.48479354558305,178.16798076032484,198.10548734661756,191.82624681835745,189.0335875599367,181.98641345822188,166.39620519918674,162.5097867214468,160.72233644063712,102.83184373622383
