bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S1,-881.6732721131565,-713.5241826882224,168.14908942493412,877.5195977115875,0.1916186144029564,False
S1,S4,159.85752343633644,424.05163688022856,264.1941134438921,992.378578246086,0.2662231120615527,False
S2,S9,-616.6375700107685,4.250055780793918,620.8876257915624,810.017291679204,0.7665115697770267,False
S3,S5,-452.0441423812943,-70.01106701901855,382.0330753622758,878.25164660906,0.4349927231418353,False
S4,S9,59.07333398678782,511.7253451765448,452.652011189757,850.1020913692146,0.532467824494696,False
S5,S2,1086.646140662329,1123.963743056906,37.31760239457708,876.9983214541603,0.042551509486016305,False
S6,S9,-293.90061052401376,-63.39524759251095,230.50536293150282,689.929494414577,0.33409988237579635,False
S7,S2,913.072331335142,1503.531016156164,590.458684821022,898.4874130667183,0.6571696789893446,False
S8,S8,645.2275825882449,645.2275825882449,0.0,856.0394718073561,0.0,True
S9,S8,-45.17129411288702,-19.111206238513,26.06008787437402,574.9814911738495,0.04532335088068875,False
