BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,646.5299923160675,633.5406773045323,672.5924338381428,654.4436258599924,643.9173384859291,627.588332601521,600.5102946143917,580.8417373186899,565.5042338762157,424.41751316811747
S1,717.0879640297056,701.510116695011,741.6863348969055,734.9980117546078,721.0175370909662,682.2583679466476,655.1984154406399,640.2323127125153,598.541192158723,463.2138851428984
S2,664.688136662454,647.0918470626975,686.0595392810548,676.06770406916,665.7333776613548,651.1924659644907,598.130214555624,566.4854589090947,564.5776453232155,397.0517716446155
S3,598.7197281514684,582.0243051615411,646.2506380412719,626.9310105453787,617.8128355336778,582.8399952761565,536.4688672962166,523.7252578594965,505.08413985950517,376.4261121195396
S4,743.4395218724906,727.7238070026643,748.867657799404,745.9032968280128,736.3098578908435,711.1025642080264,649.7406712076189,608.6458229999545,611.5311102871619,446.14806965014253
S5,653.1696138450101,648.1829360269641,676.6700012259274,675.113339297283,659.3487347415805,638.5524666700921,604.1902658401153,561.7447328017981,561.5570287990514,378.4665078029592
S6,686.861067177363,654.4985957942343,715.2331080500715,695.1480173208723,678.7437212615574,652.878370511343,589.5464071217558,578.0953854576195,551.6893132143184,372.5214723894945
S7,691.4701554422551,680.5915857046167,710.2867673691838,694.7241496077122,681.1751994002709,667.276165252537,625.5911540840847,577.8291403057906,599.7479119434163,444.3279237947557
S8,701.2655054163066,684.1076863414669,719.797498982896,707.592205160452,694.4307025311828,684.1555938434594,648.1981670579902,639.5148872966089,618.4878720483788,460.82265946222213
S9,580.8538558408957,550.952289975769,621.1739663850815,598.2578305869632,590.903009589162,560.9024739563879,518.9849761307304,508.0235651567373,466.5326682563338,310.1518866355489
