bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S1,-811.6756908471369,-655.6825657154992,155.99312513163773,874.8964811952759,0.17829895134395932,False
S1,S4,166.72772468359966,421.8640207299114,255.1362960463117,979.0350704352509,0.26059975148069564,False
S2,S9,-759.6555920891506,-200.65658842827793,558.9990036608726,820.276990655219,0.681475903906992,False
S3,S5,-479.0884980533221,-46.46082189090783,432.6276761624143,891.5398041017058,0.485258957785199,False
S4,S9,44.36926732730617,473.9100086756584,429.54074134835224,878.2360623250967,0.48909485703782124,False
S5,S2,993.0065710518392,1049.3991508553913,56.39257980355217,905.7705777494159,0.06225923118817991,False
S6,S9,14.804242398849107,95.43834881388285,80.63410641503374,722.4585695725551,0.11161069964571278,False
S7,S2,839.2977900262654,1447.8234259215951,608.5256358953297,942.6785399376492,0.6455282581648447,False
S8,S8,694.5918253560858,694.5918253560858,0.0,861.4086248070118,0.0,True
S9,S8,-189.0566254998476,-188.01952983688642,1.0370956629611783,580.0919226589501,0.0017878126249499797,False
