BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,177.00073390149353,162.72103695712022,179.0540918039417,176.1813675258966,171.6438568291582,165.89492879282432,158.20581643938294,152.49054102177539,142.4839474073424,110.79207862901626
S1,210.07348808680035,205.1563872107865,219.49277389103347,218.983852249017,216.54435319155965,204.97062559991258,195.9378265633779,190.67973743807391,189.75648689591173,152.11057679065803
S2,153.79131252002387,149.29048375739507,169.52162109022336,168.6882728049715,161.1443991217555,144.63989736531747,138.4611402739394,130.35117969702566,129.6409938751913,105.75834576681505
S3,187.1190220578534,180.41450976704448,196.75966491845082,193.80890310200581,191.85133250700653,181.97267402988132,171.7615542296761,153.04693743488352,154.83992606786552,121.82557983180614
S4,189.78157540008633,177.21152698203775,196.36111334460324,187.29567587659335,187.70077230174246,169.03416421137385,155.10321815967873,143.8471282296368,141.3984414002522,104.52077498652896
S5,189.1034981416721,185.08044463258778,215.69349515487602,212.18123089944606,188.91046772921104,184.9747099474908,181.55849336386603,175.64505289151265,166.84053866329137,111.10650535682893
S6,203.55529140840272,186.05181932233728,218.4635717772424,210.90155164809298,208.62224307134392,186.8864526876116,179.83106325182507,169.68762149976772,158.70348083563846,131.6692187242044
S7,160.51078225568403,155.53379282946435,180.24458341630617,174.88310841790314,165.42609653906172,159.451210489534,149.01724380472592,147.84277059121376,147.4757880683662,110.08088157550658
S8,201.31225719507287,194.43995971297338,207.25365010039997,203.22597037049397,202.14715299512818,185.10158217414354,174.32745177274126,169.5310997988887,169.87900246600125,130.35455390629298
S9,186.71116994749178,180.12651446561065,188.837135778462,187.69618998683586,185.7317618781488,177.6557423296291,167.2085882870135,158.45338405907,149.11040131095362,87.5709920645286
