bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S1,-28.09125521581585,98.08043695202481,126.17169216784066,1014.1099344967565,0.12441618790614875,False
S1,S2,-303.91882507314574,-289.9730252364151,13.945799836730657,1198.066420471411,0.011640255997863051,False
S2,S9,-1523.718771863199,-597.2819679902732,926.4368038729258,947.6456420275254,0.9776194421057829,False
S3,S9,-14.711917016458944,409.1138710935103,423.8257881099692,847.5434200534645,0.5000638056788094,False
S4,S0,-19.852360553433012,174.56156694192654,194.41392749535956,1064.9965570598129,0.1825488788734561,False
S5,S1,350.88783258265073,590.0067534840726,239.11892090142192,1005.0348696730894,0.23792101957537137,False
S6,S9,98.56102495106616,312.37665811525386,213.81563316418772,840.5091572428065,0.25438822566262725,False
S7,S2,1202.8579776253425,1775.9942986325389,573.1363210071963,1019.5557820483385,0.5621431716622084,False
S8,S6,400.3486167554788,572.6338569929371,172.2852402374583,1033.7603114337376,0.16665878766279327,False
S9,S9,141.761244181515,141.761244181515,0.0,520.4023852541125,0.0,True
