BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-226.20718032041583,-44.51367372306576,-419.16237718863346,-285.92530790096697,-232.5425029888109,40.17158500330604,100.76803851536312,-190.0170739081446,182.2096624188386,386.3953667979721
S1,-158.75807878607492,-7.976070485107775,-298.3826417368566,-24.215432166898477,89.18810073781785,1.5318279196171498,275.07688468176116,259.19671281393346,174.87586478361274,470.95926864486114
S2,-670.2730129386001,-524.5404021254533,-645.8748731920559,-659.9750504219109,-678.132329502868,-473.5401679019798,-377.2697311317973,-391.6898415096346,-170.564737468067,201.2469909036618
S3,-203.06186615608394,-263.7683118094717,-336.9742836280203,-328.50395467414853,-372.2493761619632,-438.8431911536123,-185.39135771790112,-464.23794017680666,-189.63155934820233,-144.59388716911386
S4,486.42359158234314,554.8471725814045,645.0990941048209,670.5785812405622,660.8556179933604,892.606513986781,833.7513129099519,844.6056553374576,804.9141279088025,863.8780386211083
S5,383.62650669359135,636.5350907778937,329.1935689156599,398.68401330237555,359.02114499128083,431.615779383703,613.3516367619941,240.66181846301026,442.02970214368577,473.56043731859756
S6,-105.42814968857247,-149.94032300164795,-243.48679948761657,-119.2637908013743,-195.98005963922142,-202.20704515357266,-171.68261572821243,-344.1142014712405,-37.10990859964274,123.7724079291951
S7,2140.577104634207,2026.3462187242449,1914.9775386201718,2012.6129501076812,1823.4030033274237,1778.7853194784373,1767.4384417223334,1085.8322455760533,1755.0780355328518,1354.1034700628668
S8,1246.9394172464285,1184.1495259094013,910.9249874524602,1151.276685090079,1145.7221899997965,1109.6371153857629,1127.481730107476,983.0846143548611,907.3512421739703,806.1824236118644
S9,-766.1538907404856,-603.8289569645341,-981.4945723590057,-836.060924087893,-549.9327214665988,-561.7521198463036,-703.7569937466922,-850.6370864070512,-520.3291560148375,71.50117615664212
