bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S6,3.1997266406412637,63.73108194721506,60.53135530657379,271.5149386988097,0.22293931817033813,False
S1,S9,-11.196358318894687,56.28818675471202,67.48454507360671,246.11404607510627,0.2742002992101172,False
S2,S0,-13.744622000409318,36.2217051343426,49.96632713475192,299.52947135037994,0.16681606290521883,False
S3,S8,-46.49199432329527,29.176350360337892,75.66834468363317,262.0116658636459,0.2887976168321143,False
S4,S6,588.4881785271193,619.0640054686003,30.575826941480955,335.4712705518218,0.09114290738275832,False
S5,S3,280.42547552734436,372.87592486501006,92.4504493376657,328.2262528438123,0.2816668335840235,False
S6,S9,-325.24871263632446,-114.20176490485618,211.04694773146826,181.6779756183267,1.1616540035366785,False
S7,S5,356.66251099410664,465.59552241754125,108.9330114234346,255.11587649509258,0.42699424637937045,False
S8,S8,243.03879442276101,243.03879442276101,0.0,273.64425891544005,0.0,True
S9,S9,-44.872820767931145,-44.872820767931145,0.0,143.24255666701228,0.0,True
