BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,TRONformer
S0,113.32297143233474,47.469524980870744,-14.90243750374156,-4.871216052959702,52.10937060160897,135.25056268192904,171.51268233850013,129.68121764655496,98.0319421113904,77.40533523875821,
S1,116.90273792359412,101.1606367615128,-22.334388854834835,8.030194649047626,40.37961344073326,17.69467715666245,77.80190389157735,67.68180223703213,107.721707056226,164.474400904127,
S2,131.22714869279395,101.85981673310005,83.31665110830524,99.41287952294064,106.0020902362325,69.840946903867,62.95607010674284,27.30104162039634,66.17143983456792,96.96737054283012,
S3,23.47498134153054,73.75341478781777,75.64570018744277,60.413966464598865,30.516642159242764,1.8623858071511497,-0.9439946594735374,-9.31155596307927,132.32224788611677,110.1056947457183,
S4,640.3242502101457,696.021620189316,530.1634977022222,560.8516498824281,678.1300983053052,685.1224096594175,707.774609520261,675.6815981320631,671.0205746961931,456.50071353117875,
S5,453.3392348149447,431.4813922562547,437.9598493742503,467.6323172136754,400.94511225772067,379.1618116634975,354.86270246522986,367.6863684571098,392.634140372732,289.8903548802079,
S6,-209.16429992666636,-218.8656891314322,-446.532264872421,-458.7221806787106,-423.4620770930088,-230.8250559702702,-201.1253909994736,-175.4092760239697,-116.84222841515438,-0.4768029027391749,
S7,517.7711655800728,511.383932562953,494.998702404056,548.2194800012905,498.9568379952804,553.8270861151811,532.5227155963242,449.3817344890767,429.2043389993572,460.01187483557095,
S8,146.29996951797577,166.2523346056424,102.4746932933417,116.2456441342019,131.13447764906584,157.59091575178024,285.6538984742732,235.92653798467072,344.85240927888344,108.65899469805215,-299.8481672796167
S9,-202.8074300116292,-217.09093125608797,-143.35749557250267,-127.54371650663562,-155.99396144160974,-208.8635489521776,-76.48625727336606,-122.68428262410312,-56.10080826556624,19.342412047845514,
