tron_profit,bg_mean_profit
16724.262034122195,-805.5699921689802
642.3246524442144,153.77704105768416
-2822.400419141228,-62.86701124553222
3899.7168545827235,-52.309690416617634
1505.5516430747348,-114.21506742655582
35627.57836952833,-1041.819847839633
-20080.5228290538,894.7472943209941
8144.0553922224,-134.92572801518017
1393.4571455933014,371.12558870423817
787.217899166448,78.17922088297773
3170.4482910699726,-78.26372101851837
0.0,89.35015875385352
866.7705483493919,59.30773065211988
-12694.147129833465,748.8941529394478
7656.100339159884,-217.1575245373991
2907.546205085816,13.970808104874664
0.0,154.03716279386904
5634.426495470905,92.33513849866283
-4369.50787817956,189.75630135074437
-3920.337646080366,503.05625271237733
-667.2014506845493,246.23160481590477
16271.310337635392,-888.1771085698659
-14630.696144176833,608.3560527643532
-12564.88464329879,401.23961467650946
6806.939005245485,-50.031081950139004
6962.594631990547,838.7675325752652
-16967.99495713779,888.3437911191171
-1575.7944620479448,203.1737643225985
529.1006864961752,14.894268818447173
2607.858852722522,267.0019836802412
-801.4822499791189,105.30876820008773
-2033.1135044355758,-73.4158899034444
10961.367766720936,-113.0820030676701
-988.7966565285608,44.86662930602589
934.887494024938,6.448141001652705
3842.06715652296,-137.90759220018285
-7343.9456166538785,187.19002893807317
976.4224270492404,183.12892345823016
-904.3675438434293,60.508035990601684
-19004.97469562453,214.93930661464253
21699.518903558477,-1659.0981390786055
846.3999008600513,155.43040106542168
4304.004699891329,-102.40576934574688
7078.984618651889,-411.34395677337915
-2391.0443493495236,518.1387467765859
0.0,108.8300019380019
9382.412577970143,-432.4124343711272
-2713.3600646278887,454.55690174919283
7346.756179012364,426.74472269837656
6249.3403628754895,-148.00436701677813
33917.05278545795,-2220.8555783582956
8530.035882048332,-305.38681285186925
30.301841505846916,41.52021066477846
-978.4368700468078,218.28578486403148
2142.120222668631,31.881930169850268
878.7878196256497,183.93358263772134
-95.32325330337699,216.8142923084586
3730.3163044654093,-630.250106588086
-5194.95973887042,314.2282447517906
16949.531503491497,-258.01627987922393
-2371.3117397594315,283.3430431054606
-1215.6704158361058,174.0804223520855
2946.836570097826,-12.597949307472282
-481.05716989466106,182.03422678332447
-475.72628355106235,-64.6762375196012
7465.571867087655,-924.0461091265811
-1029.67620794212,472.4448068723338
28875.739727813114,-904.1330772709874
-1805.7427373248356,-61.83155153843836
335.14906959709424,-279.9322789822116
32785.15215271005,-1261.1363741184757
4382.39158966824,-129.3638448624971
-9846.573194601136,518.4160038939727
0.0,70.78183968552798
811.2231946380343,-202.20473495799365
9971.999119586273,-380.53552447799575
0.0,38.25332180566683
-2372.4016913410446,354.2581373717764
12354.319267253471,-1134.7505601120274
5844.280170308441,-338.7497660178855
848.1262856387215,525.6185002263277
-1414.8641745257996,22.36231237594033
39760.12081715949,-1567.127319916616
12230.509232009796,71.71439939243125
869.825056622485,-124.8397835175869
-485.51468203066906,8.424460451778183
18466.070051773524,-652.634524096599
-8004.083572482088,406.083943852298
6329.729548711427,-145.86009238393612
-3079.9383535166226,8.55967212574607
21557.28963530757,-1007.6420604387537
-813.2778720533097,65.88766920523692
6895.027311222674,-316.5758570856352
-14703.674244904814,673.1997330683799
14114.620795029581,-282.61208718603564
-2400.3491266950086,144.68889231216897
0.0,218.89798356319395
1821.9758288475978,0.8485606326453686
1075.5467372037388,-307.19868835624584
9951.722720374664,-310.1248257869649
10374.860270603393,-260.1183448647659
2525.262411746936,361.2790478740365
-2870.4451589836326,248.89279458706505
9231.15820215916,64.83301345584904
1539.299439872246,183.36236181721247
356.6300745979388,120.34854193506415
31077.476079853157,-902.3629378391156
16430.124190286253,-1853.3387911945608
34635.0869019169,-1915.6458989102603
-1749.444990726261,144.6887556884326
11009.73375238928,-245.1799839355675
-218.22084110163505,298.31694230658474
16903.259294950283,322.915024672204
61554.06590064825,-3305.7770999752192
1476.279046553915,-108.1866462278637
24137.033602678595,-953.5948969072015
6010.648667884913,-143.0690366095508
-10320.598166432188,654.9189698857357
-11685.067511216594,483.32819960884007
-6120.750184278569,161.07829654830377
697.3369496922533,-138.16309634844234
1457.739780689975,273.746888747142
-462.250536932057,120.73082409070189
4117.374186270104,-356.2509996822918
3929.1881290146275,-381.3456378467172
-5429.212142266703,477.9826082301741
4173.006704259096,-18.58187101651667
218.75701720987755,62.8572529114389
59.928151024068846,-179.16362961937566
-44596.59097554776,1950.3633643875637
-4874.046284883933,348.0347013584605
492.97634651987755,259.37943436916186
-18541.20918688056,746.7047558621216
19374.85771115697,-789.5157863394035
-9780.837595555178,633.2700720343229
-6403.703751234371,188.52412485692665
21998.54070651218,-1148.2117862685793
1790.4862565167232,55.30574732694655
-18717.473243924705,1081.1510285241745
9336.301999903277,631.4208097228293
-4524.729465062774,243.37738927715432
31650.79484298061,-1058.1534708887148
431.98723829610776,39.274056543095945
11057.65037160685,-422.9014364592468
13622.100140198609,251.272942407331
24451.771726250576,-1880.9913117125545
6271.369991227024,-233.47763956688559
32548.52248604957,-1768.1602225277031
9230.225805491384,-100.52393656539721
-30684.27449910185,1680.8363183644863
27554.735913806304,-421.07294872081565
556.7176289556323,539.8547434853898
-9072.712911089802,610.357343714434
5253.482276603468,46.00304105173123
11674.83059386627,-3486.800899983984
-7897.835264638802,412.84201566882615
-9352.418329648553,643.8392281837852
-15577.946144754294,682.1402088767408
19100.079181453835,-1148.8698933520238
26995.51286029521,-1322.1973772425933
33727.382708797435,-1446.4666532562608
6475.730315688488,-476.26362856476845
-5596.87612385582,-152.49962122158334
-30674.652129746788,1013.4795592309198
-5147.116064787992,498.7462833669406
-5970.008929018306,235.3142870415047
10067.134542088053,-650.4713587354775
-2455.221798479778,138.22350579611734
20732.85083486595,-248.4398117196284
6726.87639312736,-106.24110756180676
0.0,206.62270646213543
2647.208706629566,-66.17935193368665
8274.60937463556,-24.767394452193532
2007.838320093823,-233.99012552464555
-421.0918661416218,241.5786535816263
36881.73597694302,-2034.1956794275711
-334.44301301213295,133.4127792931332
-29081.95555313155,1495.977181171801
329.23457052107545,256.048738537593
10540.925157986861,-439.96199597022706
16374.017574008923,-766.5504758388873
-453.91338709583215,329.1008683738568
0.0,156.29577979204655
-6537.831827129352,36.18510045525648
2198.0927673433093,397.74639263464377
-2922.9113382287055,615.5955612475258
-1519.0135293820379,-29.364131539181898
-5072.909006754068,-560.3511174542449
-1379.3505216494016,252.1525438174613
29224.559907178686,-1697.050109762431
0.0,123.36775556667067
-15545.677172276517,784.8194208124866
-12759.807204391358,215.2947300439658
-8251.7630788589,234.25244300507913
151.55639616563033,69.07834071191682
-10119.0589501207,255.3100621687065
2795.1333227884093,-83.38331068010494
-219.94709833211613,-34.48354347806079
22885.03401784758,-886.2752021179671
5018.930416519288,-402.87698302205354
-370.6755558109873,26.83033515650004
-1140.7832780628464,543.2755415106127
5378.73952736568,-1088.6268230778344
4708.5317136439035,191.439077147141
-9376.704564606829,44.95316717122845
3543.6003157686205,182.42460589448913
-619.2581750324897,158.2654494224797
-1463.8480581177166,-232.42510764896676
-1107.7018849237943,237.41902544447035
-201.62453791576613,169.7479012261912
-5895.487521672629,610.0714500132038
-3176.27489703918,325.195173589476
8368.217148634298,-176.8412682627601
315.08562698487475,356.4910399524436
7590.347233832682,-68.13186524182991
1203.708732821908,-223.99074360337727
4323.535689176261,-144.44381129975662
-1794.0476749764787,-6.824194869830383
15796.47693789698,-772.2687826247278
-823.1729949275324,127.60194934595057
7367.119782442629,464.6223263926303
6419.623215889926,-104.12377519872241
5001.190139391676,-304.6377028416837
-1984.3789706878617,-341.46965856602446
18463.116755630745,-1028.098537164509
8598.355908823045,-384.4795677717855
17767.618222798326,-752.5964694263124
94.17842142837141,250.24474814892656
-804.1227539633727,116.7165557608817
-688.5842867895132,1273.7636597560743
-5478.951281516398,452.26946486355723
1916.029558981877,-188.8688309615408
5783.025329636723,3.381878622052909
1778.3971824161454,18.482934213661906
17265.10401062447,-1156.1806785547894
-2083.191559950961,-301.1471625277175
-19512.196789366957,671.8798117455882
1191.2211621101624,-2.9848265753703345
14343.349424613962,-582.9733359563223
2383.389711936644,2.6894702399200128
11134.640662125761,-593.234283796765
-10869.331255220384,476.98266466987667
4406.888240994005,-202.75277607101773
0.0,-7.325889467400647
-27480.67419979217,1062.4627999568322
6680.057640371353,-371.2985330378312
-32712.193313909516,923.8643615371916
84.73152805166251,4.878403557819023
-4058.6684372460304,31.699684371897774
403.5076504567226,132.7575182357435
-224.9887526514416,138.25831092908143
1025.2094486636342,0.7340161069893156
3081.6471117949277,-135.35446498166823
-7037.07802531256,416.46334264523784
2781.346282304469,189.8902392397965
-15635.223969970031,1758.8070480824533
-8365.882403537616,434.06394284428615
23980.89262484173,-877.3105910245631
-321.59931457847017,212.94035733817444
-18297.030250957367,417.73033472896947
-14344.337464791462,422.47902373298376
1293.005597758697,-237.3860388626217
1067.2562176493634,227.71318811799014
-29148.95567369639,1034.8637760957497
46099.79923651387,-2447.896187435967
-253.14331246890808,50.785893929027225
-37735.81575528183,1447.5499538006795
0.0,88.52337168764905
424.90046249845165,167.5087441971427
-5719.038226175161,111.17413543652492
-2396.9113174714735,167.42637456064702
17746.03475750775,-154.84215082878868
-1205.1409596321591,105.85618881072992
-1772.2992905127976,718.207238002086
8465.531960706596,-446.33945351769154
6239.27098122423,-1351.9770794229935
-12476.9082280094,596.7201820160202
-24131.152665494654,665.508917211933
27.561841367554734,66.05292718317038
-1074.7081479245103,189.22179330532956
