bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S5,331.5867930242799,381.60073931572134,50.013946291441414,834.0115091648038,0.059967932986352196,False
S1,S8,305.57987449440964,441.07440383076795,135.4945293363583,945.1643805408947,0.1433555179669573,False
S2,S9,-1471.0556545373322,-182.10926128787207,1288.94639324946,847.0805028685465,1.5216338811772698,False
S3,S9,-521.8434401031225,-17.46455897737993,504.37888112574257,733.2489637423852,0.6878685222430777,False
S4,S9,-76.6606700350573,290.89585245463763,367.55652248969494,817.7298645385771,0.4494840392029673,False
S5,S4,981.6438590593674,1028.5306157131308,46.88675665376343,838.0652912246695,0.055946424633870166,False
S6,S9,-90.16270068885711,25.784801529522053,115.94750221837917,795.2947388606287,0.1457918637617171,False
S7,S2,1205.2847285339585,1594.119553522997,388.83482498903845,913.2789977639891,0.42575688912264,False
S8,S2,725.6481718847917,1089.2087054461376,363.5605335613459,970.4119170501203,0.37464557800001597,False
S9,S9,293.35752840833635,293.35752840833635,0.0,418.16762343152686,0.0,True
