ep   410,000 | ε=0.2210 | buf=50,000 | loss=0.00490 | 145 ep/s
ep   420,000 | ε=0.2020 | buf=50,000 | loss=0.00578 | 145 ep/s
ep   430,000 | ε=0.1830 | buf=50,000 | loss=0.01128 | 145 ep/s
ep   440,000 | ε=0.1640 | buf=50,000 | loss=0.00371 | 146 ep/s
ep   450,000 | ε=0.1450 | buf=50,000 | loss=0.00359 | 146 ep/s
ep   460,000 | ε=0.1260 | buf=50,000 | loss=0.00924 | 146 ep/s
ep   470,000 | ε=0.1070 | buf=50,000 | loss=0.00420 | 146 ep/s
ep   480,000 | ε=0.0880 | buf=50,000 | loss=0.00590 | 146 ep/s
ep   490,000 | ε=0.0690 | buf=50,000 | loss=0.00615 | 146 ep/s
ep   500,000 | ε=0.0500 | buf=50,000 | loss=0.00534 | 145 ep/s
ep   510,000 | ε=0.0500 | buf=50,000 | loss=0.00616 | 145 ep/s
ep   520,000 | ε=0.0500 | buf=50,000 | loss=0.00450 | 145 ep/s
ep   530,000 | ε=0.0500 | buf=50,000 | loss=0.00689 | 145 ep/s
ep   540,000 | ε=0.0500 | buf=50,000 | loss=0.00697 | 145 ep/s
ep   550,000 | ε=0.0500 | buf=50,000 | loss=0.00335 | 146 ep/s
ep   560,000 | ε=0.0500 | buf=50,000 | loss=0.00458 | 146 ep/s
ep   570,000 | ε=0.0500 | buf=50,000 | loss=0.00411 | 146 ep/s
ep   580,000 | ε=0.0500 | buf=50,000 | loss=0.00679 | 146 ep/s
ep   590,000 | ε=0.0500 | buf=50,000 | loss=0.00469 | 146 ep/s
  [ep   600,000] new best paired advantage: 222.1
ep   600,000 | ε=0.0500 | buf=50,000 | loss=0.00497 | 145 ep/s
ep   610,000 | ε=0.0500 | buf=50,000 | loss=0.00809 | 145 ep/s
ep   620,000 | ε=0.0500 | buf=50,000 | loss=0.00881 | 145 ep/s
ep   630,000 | ε=0.0500 | buf=50,000 | loss=0.00483 | 145 ep/s
ep   640,000 | ε=0.0500 | buf=50,000 | loss=0.00452 | 146 ep/s
ep   650,000 | ε=0.0500 | buf=50,000 | loss=0.00485 | 146 ep/s
ep   660,000 | ε=0.0500 | buf=50,000 | loss=0.00383 | 146 ep/s
ep   670,000 | ε=0.0500 | buf=50,000 | loss=0.00581 | 146 ep/s
ep   680,000 | ε=0.0500 | buf=50,000 | loss=0.00581 | 146 ep/s
ep   690,000 | ε=0.0500 | buf=50,000 | loss=0.00480 | 146 ep/s
ep   700,000 | ε=0.0500 | buf=50,000 | loss=0.00252 | 145 ep/s
ep   710,000 | ε=0.0500 | buf=50,000 | loss=0.00764 | 145 ep/s
ep   720,000 | ε=0.0500 | buf=50,000 | loss=0.00460 | 145 ep/s
ep   730,000 | ε=0.0500 | buf=50,000 | loss=0.00791 | 145 ep/s
ep   740,000 | ε=0.0500 | buf=50,000 | loss=0.00734 | 145 ep/s
ep   750,000 | ε=0.0500 | buf=50,000 | loss=0.00680 | 145 ep/s
ep   760,000 | ε=0.0500 | buf=50,000 | loss=0.00668 | 145 ep/s
ep   770,000 | ε=0.0500 | buf=50,000 | loss=0.00419 | 145 ep/s
ep   780,000 | ε=0.0500 | buf=50,000 | loss=0.00439 | 145 ep/s
ep   790,000 | ε=0.0500 | buf=50,000 | loss=0.00409 | 146 ep/s
ep   800,000 | ε=0.0500 | buf=50,000 | loss=0.00569 | 145 ep/s
ep   810,000 | ε=0.0500 | buf=50,000 | loss=0.00601 | 145 ep/s
ep   820,000 | ε=0.0500 | buf=50,000 | loss=0.00464 | 145 ep/s
ep   830,000 | ε=0.0500 | buf=50,000 | loss=0.00480 | 145 ep/s
ep   840,000 | ε=0.0500 | buf=50,000 | loss=0.00427 | 145 ep/s
ep   850,000 | ε=0.0500 | buf=50,000 | loss=0.00655 | 145 ep/s
ep   860,000 | ε=0.0500 | buf=50,000 | loss=0.00607 | 145 ep/s
ep   870,000 | ε=0.0500 | buf=50,000 | loss=0.00887 | 145 ep/s
ep   880,000 | ε=0.0500 | buf=50,000 | loss=0.00754 | 145 ep/s
ep   890,000 | ε=0.0500 | buf=50,000 | loss=0.00801 | 145 ep/s
ep   900,000 | ε=0.0500 | buf=50,000 | loss=0.00824 | 145 ep/s
ep   910,000 | ε=0.0500 | buf=50,000 | loss=0.00599 | 145 ep/s
ep   920,000 | ε=0.0500 | buf=50,000 | loss=0.00715 | 145 ep/s
ep   930,000 | ε=0.0500 | buf=50,000 | loss=0.00627 | 145 ep/s
ep   940,000 | ε=0.0500 | buf=50,000 | loss=0.00755 | 145 ep/s
ep   950,000 | ε=0.0500 | buf=50,000 | loss=0.00627 | 145 ep/s
ep   960,000 | ε=0.0500 | buf=50,000 | loss=0.00518 | 145 ep/s
ep   970,000 | ε=0.0500 | buf=50,000 | loss=0.00490 | 145 ep/s
ep   980,000 | ε=0.0500 | buf=50,000 | loss=0.00510 | 145 ep/s
ep   990,000 | ε=0.0500 | buf=50,000 | loss=0.00526 | 145 ep/s
ep 1,000,000 | ε=0.0500 | buf=50,000 | loss=0.00688 | 145 ep/s
ep 1,010,000 | ε=0.0500 | buf=50,000 | loss=0.00343 | 145 ep/s
ep 1,020,000 | ε=0.0500 | buf=50,000 | loss=0.00693 | 145 ep/s
ep 1,030,000 | ε=0.0500 | buf=50,000 | loss=0.00776 | 145 ep/s
ep 1,040,000 | ε=0.0500 | buf=50,000 | loss=0.00453 | 145 ep/s
ep 1,050,000 | ε=0.0500 | buf=50,000 | loss=0.00636 | 145 ep/s
ep 1,060,000 | ε=0.0500 | buf=50,000 | loss=0.00364 | 145 ep/s
ep 1,070,000 | ε=0.0500 | buf=50,000 | loss=0.00553 | 145 ep/s
ep 1,080,000 | ε=0.0500 | buf=50,000 | loss=0.00403 | 145 ep/s
ep 1,090,000 | ε=0.0500 | buf=50,000 | loss=0.00662 | 145 ep/s
ep 1,100,000 | ε=0.0500 | buf=50,000 | loss=0.00668 | 145 ep/s
ep 1,110,000 | ε=0.0500 | buf=50,000 | loss=0.00578 | 145 ep/s
ep 1,120,000 | ε=0.0500 | buf=50,000 | loss=0.00374 | 145 ep/s
ep 1,130,000 | ε=0.0500 | buf=50,000 | loss=0.00737 | 145 ep/s
ep 1,140,000 | ε=0.0500 | buf=50,000 | loss=0.00521 | 145 ep/s
ep 1,150,000 | ε=0.0500 | buf=50,000 | loss=0.00766 | 145 ep/s
ep 1,160,000 | ε=0.0500 | buf=50,000 | loss=0.00594 | 145 ep/s
ep 1,170,000 | ε=0.0500 | buf=50,000 | loss=0.00568 | 145 ep/s
ep 1,180,000 | ε=0.0500 | buf=50,000 | loss=0.00715 | 145 ep/s
ep 1,190,000 | ε=0.0500 | buf=50,000 | loss=0.00890 | 145 ep/s
ep 1,200,000 | ε=0.0500 | buf=50,000 | loss=0.00514 | 145 ep/s
ep 1,210,000 | ε=0.0500 | buf=50,000 | loss=0.00585 | 145 ep/s
ep 1,220,000 | ε=0.0500 | buf=50,000 | loss=0.00386 | 145 ep/s
