ep 2,290,000 | ε=0.0500 | buf=50,000 | loss=0.00667 | 146 ep/s
ep 2,300,000 | ε=0.0500 | buf=50,000 | loss=0.00594 | 146 ep/s
ep 2,310,000 | ε=0.0500 | buf=50,000 | loss=0.00895 | 146 ep/s
ep 2,320,000 | ε=0.0500 | buf=50,000 | loss=0.00957 | 146 ep/s
ep 2,330,000 | ε=0.0500 | buf=50,000 | loss=0.00630 | 146 ep/s
ep 2,340,000 | ε=0.0500 | buf=50,000 | loss=0.00578 | 146 ep/s
ep 2,350,000 | ε=0.0500 | buf=50,000 | loss=0.00870 | 146 ep/s
ep 2,360,000 | ε=0.0500 | buf=50,000 | loss=0.01020 | 146 ep/s
ep 2,370,000 | ε=0.0500 | buf=50,000 | loss=0.00870 | 146 ep/s
ep 2,380,000 | ε=0.0500 | buf=50,000 | loss=0.00673 | 146 ep/s
ep 2,390,000 | ε=0.0500 | buf=50,000 | loss=0.00782 | 146 ep/s
ep 2,400,000 | ε=0.0500 | buf=50,000 | loss=0.01142 | 146 ep/s
ep 2,410,000 | ε=0.0500 | buf=50,000 | loss=0.00294 | 146 ep/s
ep 2,420,000 | ε=0.0500 | buf=50,000 | loss=0.00622 | 146 ep/s
ep 2,430,000 | ε=0.0500 | buf=50,000 | loss=0.00907 | 146 ep/s
ep 2,440,000 | ε=0.0500 | buf=50,000 | loss=0.00853 | 146 ep/s
ep 2,450,000 | ε=0.0500 | buf=50,000 | loss=0.01260 | 146 ep/s
ep 2,460,000 | ε=0.0500 | buf=50,000 | loss=0.01162 | 146 ep/s
ep 2,470,000 | ε=0.0500 | buf=50,000 | loss=0.01066 | 146 ep/s
ep 2,480,000 | ε=0.0500 | buf=50,000 | loss=0.00825 | 146 ep/s
ep 2,490,000 | ε=0.0500 | buf=50,000 | loss=0.00447 | 146 ep/s
ep 2,500,000 | ε=0.0500 | buf=50,000 | loss=0.01026 | 146 ep/s
ep 2,510,000 | ε=0.0500 | buf=50,000 | loss=0.01050 | 146 ep/s
ep 2,520,000 | ε=0.0500 | buf=50,000 | loss=0.00799 | 146 ep/s
ep 2,530,000 | ε=0.0500 | buf=50,000 | loss=0.01427 | 146 ep/s
ep 2,540,000 | ε=0.0500 | buf=50,000 | loss=0.00690 | 146 ep/s
ep 2,550,000 | ε=0.0500 | buf=50,000 | loss=0.01437 | 146 ep/s
ep 2,560,000 | ε=0.0500 | buf=50,000 | loss=0.00789 | 146 ep/s
ep 2,570,000 | ε=0.0500 | buf=50,000 | loss=0.01045 | 146 ep/s
ep 2,580,000 | ε=0.0500 | buf=50,000 | loss=0.00765 | 146 ep/s
ep 2,590,000 | ε=0.0500 | buf=50,000 | loss=0.01314 | 146 ep/s
ep 2,600,000 | ε=0.0500 | buf=50,000 | loss=0.01568 | 146 ep/s
ep 2,610,000 | ε=0.0500 | buf=50,000 | loss=0.00739 | 146 ep/s
ep 2,620,000 | ε=0.0500 | buf=50,000 | loss=0.00755 | 146 ep/s
ep 2,630,000 | ε=0.0500 | buf=50,000 | loss=0.00688 | 146 ep/s
ep 2,640,000 | ε=0.0500 | buf=50,000 | loss=0.00880 | 146 ep/s
ep 2,650,000 | ε=0.0500 | buf=50,000 | loss=0.00809 | 146 ep/s
ep 2,660,000 | ε=0.0500 | buf=50,000 | loss=0.00955 | 146 ep/s
ep 2,670,000 | ε=0.0500 | buf=50,000 | loss=0.01376 | 146 ep/s
ep 2,680,000 | ε=0.0500 | buf=50,000 | loss=0.00713 | 146 ep/s
ep 2,690,000 | ε=0.0500 | buf=50,000 | loss=0.01038 | 146 ep/s
ep 2,700,000 | ε=0.0500 | buf=50,000 | loss=0.00522 | 146 ep/s
ep 2,710,000 | ε=0.0500 | buf=50,000 | loss=0.00853 | 146 ep/s
ep 2,720,000 | ε=0.0500 | buf=50,000 | loss=0.00608 | 146 ep/s
ep 2,730,000 | ε=0.0500 | buf=50,000 | loss=0.01069 | 146 ep/s
ep 2,740,000 | ε=0.0500 | buf=50,000 | loss=0.01237 | 146 ep/s
ep 2,750,000 | ε=0.0500 | buf=50,000 | loss=0.01166 | 146 ep/s
ep 2,760,000 | ε=0.0500 | buf=50,000 | loss=0.00787 | 146 ep/s
ep 2,770,000 | ε=0.0500 | buf=50,000 | loss=0.00327 | 146 ep/s
